"id" "count" "brand" "price.max" "price.min" "urls" "colors" "name" "Onlinemerchant" "price.avg_USD" "weight_KG" "date_trend"
"11" "AVpe-rIwLJeJML43zsTa" 1 "Others" 78.7597 78.7597 "https://images-na.ssl-images-amazon.com/images/I/41xWy9oiOlL._SY300_QL70_.jpg, https://images-na.ssl-images-amazon.com/images/I/41xWy9oiOlL._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/41LUspPZEQL._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/41uJbNi-9PL._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/51QEPAdYLPL._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/51aKQq4tp7L._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/51gTLxBd4SL._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/51qOyUmYR2L._SS40_.jpg" "Other" "Adults Womens Dance Genuine Leather Upper Buckle Tan Black 43" "Haoseng" 79 0.045 28.0000000000018
"12" "AVpe-twZLJeJML43ztLz" 1 "Others" 77.7742 77.7742 "https://images-na.ssl-images-amazon.com/images/I/31Lr75de2rL._SS40_.jpg, http://ecx.images-amazon.com/images/I/310nZFwCd9L._SS40_.jpg, http://ecx.images-amazon.com/images/I/316EKeEmNDL._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/316EKeEmNDL._SS40_.jpg, http://ecx.images-amazon.com/images/I/31Lr75de2rL._SY300_QL70_.jpg, http://ecx.images-amazon.com/images/I/31Lr75de2rL._SS40_.jpg, http://ecx.images-amazon.com/images/I/51nFYZH89eL._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/51nFYZH89eL._SS40_.jpg, http://ecx.images-amazon.com/images/I/310-S934j5L._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/31yXqfko8%2BL._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/31da1IbgNOL._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/310-S934j5L._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/31Lr75de2rL._SY300_QL70_.jpg, https://images-na.ssl-images-amazon.com/images/I/310nZFwCd9L._SS40_.jpg, http://ecx.images-amazon.com/images/I/31yXqfko8%2BL._SS40_.jpg, http://ecx.images-amazon.com/images/I/31da1IbgNOL._SS40_.jpg" "Blue" "Yu&yu Women's Shoes Chunky Heel Round Toe Loafers Casual More Colors Available" "Amazon.ca" 78 0.499 37.0000000000018
"13" "AVpe-UNV1cnluZ0-bFtJ" 1 "Others" 77.7742 77.7742 "https://images-na.ssl-images-amazon.com/images/I/41z64j0ek%2BL._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/41H7wnfvETL._SS40_.jpg, http://ecx.images-amazon.com/images/I/415MtW-Sr1L._SY300_QL70_.jpg, https://images-na.ssl-images-amazon.com/images/I/41PNosglk6L._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/415MtW-Sr1L._SS40_.jpg, http://ecx.images-amazon.com/images/I/41z64j0ek%2BL._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/41ImP5OWmpL._SS40_.jpg, http://ecx.images-amazon.com/images/I/41H7wnfvETL._SS40_.jpg, http://ecx.images-amazon.com/images/I/51nFYZH89eL._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/51nFYZH89eL._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/415MtW-Sr1L._SY300_QL70_.jpg, https://images-na.ssl-images-amazon.com/images/I/41T9xFu8NaL._SS40_.jpg, http://ecx.images-amazon.com/images/I/415MtW-Sr1L._SS40_.jpg, http://ecx.images-amazon.com/images/I/41T9xFu8NaL._SS40_.jpg, http://ecx.images-amazon.com/images/I/41ImP5OWmpL._SS40_.jpg, http://ecx.images-amazon.com/images/I/41PNosglk6L._SS40_.jpg" "Brown" "Yu&yu Women's Shoes Round Toe Flat Heel Loafers Shoes More Colors Available" "Amazon.ca" 78 0.499 37.0000000000018
"14" "AVpe-vI31cnluZ0-bPMQ" 1 "Others" 64.24 64.24 "https://images-na.ssl-images-amazon.com/images/I/417KbxCy7rL._SY300_QL70_.jpg, https://images-na.ssl-images-amazon.com/images/I/417KbxCy7rL._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/41CSBW%2BJjjL._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/41aT%2BI97eyL._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/41VfnebTk0L._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/41M5ax%2BZarL._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/41p7K5s3UpL._SS40_.jpg" "Other" "Sneed- Customizable Women's Dance Shoes Latin/salsa Satin Customized Heel Black/blue/yellow/pink/purple/red/white/fuchsia , White-us9 / Eu40 / Uk7 / Cn41 , White-us9 / Eu40 / Uk7 / Cn41" "YuTin Jia" 64 0.599 28.0000000000018
"15" "AVpe-W5ALJeJML43zlML" 1 "Others" 194.472 194.472 "http://ecx.images-amazon.com/images/I/31WM-deO2-L._SY300_QL70_.jpg, http://ecx.images-amazon.com/images/I/31Uf5bRIaFL._SS40_.jpg, http://ecx.images-amazon.com/images/I/51nFYZH89eL._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/51nFYZH89eL._SS40_.jpg, http://ecx.images-amazon.com/images/I/31C8uyJZjcL._SS40_.jpg, http://ecx.images-amazon.com/images/I/31Lm1vnSVCL._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/31TUtZ%2Boj3L._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/31C8uyJZjcL._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/31Uf5bRIaFL._SS40_.jpg, http://ecx.images-amazon.com/images/I/41h1Ipp5FNL._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/41h1Ipp5FNL._SS40_.jpg, http://ecx.images-amazon.com/images/I/31TUtZ%2Boj3L._SS40_.jpg, http://ecx.images-amazon.com/images/I/31WM-deO2-L._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/31WM-deO2-L._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/31Lm1vnSVCL._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/31WM-deO2-L._SY300_QL70_.jpg" "Blue" "Yu&yu Women's Shoes Komanic Open Toe Wedge Heel Leather Sandals Shoes More Colors Available" "Amazon.ca" 194 0.499 37.0000000000018
"16" "AVpe-Wd11cnluZ0-bGiT" 1 "Others" 77.7742 77.7742 "https://images-na.ssl-images-amazon.com/images/I/315FaCdk2qL._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/31LcZ4i19uL._SS40_.jpg, http://ecx.images-amazon.com/images/I/31LcZ4i19uL._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/31yUl3J%2BJOL._SS40_.jpg, http://ecx.images-amazon.com/images/I/31yUl3J%2BJOL._SS40_.jpg, http://ecx.images-amazon.com/images/I/21J4JpQ8msL._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/21J4JpQ8msL._SS40_.jpg, http://ecx.images-amazon.com/images/I/51nFYZH89eL._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/51nFYZH89eL._SS40_.jpg, http://ecx.images-amazon.com/images/I/315FaCdk2qL._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/31NdSbcl8jL._SS40_.jpg, http://ecx.images-amazon.com/images/I/31HYo1raicL._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/31HYo1raicL._SS40_.jpg, http://ecx.images-amazon.com/images/I/31LcZ4i19uL._SY300_QL70_.jpg, http://ecx.images-amazon.com/images/I/31NdSbcl8jL._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/31LcZ4i19uL._SY300_QL70_.jpg" "Black" "Yu&yu Women's Shoes Pointed Toe Flat Heel Loafers Shoes With Bowknot" "Amazon.ca" 78 0.499 37.0000000000018
"17" "AVpe-wFzLJeJML43zuAv" 1 "Others" 64.24 64.24 "https://images-na.ssl-images-amazon.com/images/I/41uHefzf66L._SY300_QL70_.jpg, https://images-na.ssl-images-amazon.com/images/I/41uHefzf66L._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/41vtIf-IpwL._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/41ytYjv9RxL._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/41nEr7EvL-L._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/41GEr0m35JL._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/41ytzKga43L._SS40_.jpg" "Other" "Sneed- Customizable Women's Dance Shoes Latin/salsa Satin Customized Heel Black/blue/yellow/pink/purple/red/white/fuchsia , Purple-us7.5 / Eu38 / Uk5.5 / Cn38 , Purple-us7.5 / Eu38 / Uk5.5 / Cn38" "YuTin Jia" 64 0.599 28.0000000000018
"18" "AVpe-xGbilAPnD_xSSsN" 1 "Others" 79.2342 79.2342 "https://images-na.ssl-images-amazon.com/images/I/41hbt4IxRlL._SS40_.jpg, http://ecx.images-amazon.com/images/I/41MxvkBX0%2BL._SY300_QL70_.jpg, http://ecx.images-amazon.com/images/I/31CfDzXLn7L._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/41MxvkBX0%2BL._SY300_QL70_.jpg, https://images-na.ssl-images-amazon.com/images/I/31CfDzXLn7L._SS40_.jpg, http://ecx.images-amazon.com/images/I/41uRKlmrK8L._SS40_.jpg, http://ecx.images-amazon.com/images/I/41hbt4IxRlL._SS40_.jpg, http://ecx.images-amazon.com/images/I/51nFYZH89eL._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/51nFYZH89eL._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/41uRKlmrK8L._SS40_.jpg, http://ecx.images-amazon.com/images/I/41MxvkBX0%2BL._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/41MxvkBX0%2BL._SS40_.jpg" "Black" "Yu&yu Women's Shoes Round Toe Flat Heel Flats Shoes More Colors Available" "Amazon.ca" 79 0.499 37.0000000000018
"19" "AVpe-yRWLJeJML43zutr" 3 "RYKA" 34.66 34.66 "http://i5.walmartimages.com/dfw/dce07b8c-6e44/k2-_3d712a02-6491-4178-bbed-0a042a5b4abe.v1.jpg" "Other" "Ryka Womens Relief Mary Jane Toning Walking Shoe, Grey, Us 8 W" "Virtual Exchanges Inc - Walmart.com" 35 0.9 37.0000000000018
"20" "AVpe_-BILJeJML430JQV" 1 "Others" 64.24 64.24 "https://images-na.ssl-images-amazon.com/images/I/51sDfNr%2BCcL._SY300_QL70_.jpg, https://images-na.ssl-images-amazon.com/images/I/51sDfNr%2BCcL._SS40_.jpg, https://images-na.ssl-images-amazon.com/images/I/51dFRFpHuiL._SS40_.jpg" "Other" "Sneed- Customized Shoes Women's Dance Shoes Sparkling Glitter Latin Salsa Shoe , Silver-us8 / Eu39 / Uk6 / Cn39 , Silver-us8 / Eu39 / Uk6 / Cn39" "YuTin Jia" 64 0.599 28.0000000000018
